additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
,No,RC,L19.1,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: PVC, joint type: rubber gasket",No,RC,L19.10,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: ductile iron, joint type:  rubber gasket",No,RC,L19.11,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,No,RC,L19.12,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: cement",No,RC,L19.13,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: rubber gasket",No,RC,L19.14,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: mechanical restrained",No,RC,L19.15,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: arc welded, lap welds (large diameter, non  corrosive)",No,RC,L19.16,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: rubber gasket",No,RC,L19.17,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: rubber gasket",No,RC,L19.18,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: cement",No,RC,L19.19,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: cement",No,RC,L19.2,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: concrete with steel cylinder, joint type: welded",No,RC,L19.20,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material:  concrete with steel cylinder, joint type: cement",No,RC,L19.21,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material:  concrete with steel cylinder, joint type: rubber gasket",No,RC,L19.22,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material:  PVC, joint type: rubber gasket",No,RC,L19.23,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: ductile iron, joint type: rubber gasket",No,RC,L19.24,V (repair rate),,E,Buried pipelines,"USA, Japan",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger et al. (2001),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: cast iron, joint type: rubber gasket, mechanical",No,RC,L19.3,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: arc welded single lap",No,RC,L19.4,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: welded steel, joint type: rubber gasket",No,RC,L19.5,V (repair rate),,H (E + O),Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: rubber gasket",No,RC,L19.6,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: abestos cement, joint type: cement",No,RC,L19.7,V (repair rate),,E,Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: concrete, joint type: welded",No,RC,L19.8,V (repair rate),,H (E + O),Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Pipe material: concrete, joint type: cement",No,RC,L19.9,V (repair rate),,H (E + O),Buried pipelines,"USA, Mexico",L,Permanent Ground Displacement ,,"Yes, formula available",Waste,Eidinger (1984),R,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,Yes,RC,L2.1,F,1 - 'Complete',H (A+E+O),Substation ,USA,L,Permanent Ground Displacement,,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
,Yes,RC,L20.1,F,1 - 'Complete',H (A+E+O),Liftstation,USA,L,Permanent Ground Displacement,,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,No,landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Interstate and state highways, with four lanes or more, parkways",Yes,RC,L7.1,F + V,"3 - 'Slight', 'Moderate', 'Extensive/Complete'",O,Major roads,USA,L,Permanent Ground Displacement ,HRD1,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
Intercity roads and other roads with two lanes,Yes,RC,L7.2,F + V,"3 - 'Slight', 'Moderate', 'Extensive/Complete'",O,Urban roads,USA,L,Permanent Ground Displacement,HRD2,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"Urban roads, suburban secondary roads composed by single carriageways with two lanes; roads of 7.4 years exposed to slow-moving landslides ",Yes,RC,L7.34,F + V,"4 - 'Negligible', 'From very low to low', 'From moderate to severe', 'Very severe' ",E,Roads,"Campania region, Italy",L,Representative velocity along the steepest slope direction ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,Ferlisi et al (2021),P,No,landslide,L_Vuln_Vslope,"Representative velocity along the steepest slope direction, Vslope",mm/year
"Urban roads, suburban secondary roads composed by single carriageways with two lanes; roads of 12.4 years exposed to slow-moving landslides",Yes,RC,L7.35,V,,H (E + A),Roads,"Campania region, Italy",L,Representative velocity along the steepest slope direction ,,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,Ferlisi et al (2021),P,No,landslide,L_Vuln_Vslope,"Representative velocity along the steepest slope direction, Vslope",mm/year
"Urban roads, suburban secondary roads composed by single carriageways with two lanes;  roads of 17.4 years exposed to slow-moving landslides",Yes,RC,L7.36,V,,H (E + A),Roads,"Campania region, Italy",L,Representative velocity along the steepest slope direction ,,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,Ferlisi et al (2021),P,No,landslide,L_Vuln_Vslope,"Representative velocity along the steepest slope direction, Vslope",mm/year
"Urban roads, suburban secondary roads composed by single carriageways with two lanes;  roads of 22.4 years exposed to slow-moving landslides",Yes,RC,L7.37,V,,H (E + A),Roads,"Campania region, Italy",L,Representative velocity along the steepest slope direction ,,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,Ferlisi et al (2021),P,No,landslide,L_Vuln_Vslope,"Representative velocity along the steepest slope direction, Vslope",mm/year
Interstate and state railways,Yes,RC,L8.1,F + V,"3 - 'Slight', 'Moderate', 'Extensive/Complete'",O,Railways,USA,L,Permanent Ground Displacement ,HRD1,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
with buried tanks,Yes,RC,L8.2,F + V,"3 - 'Slight', 'Moderate', 'Extensive/Complete'",O,Fuel facility,USA,L,Permanent Ground Displacement ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
Paved,Yes,RC,L9.1,F + V,"3 - 'Slight/Moderate', 'Extensive', 'Complete'",H (A+E+O),Runways,USA,L,Permanent Ground Displacement ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
with buried tanks,Yes,RC,L9.2,F + V,"3 - 'Slight', 'Moderate', 'Extensive/Complete'",H(A+O),Fuel facility,USA,L,Permanent Ground Displacement ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",landslide,L_Vuln_PGD,Peak Ground Deformation,cm
"1-MW capacity, 40-m hub height; fixed in the base; blades in feathered position minimizing the drag force",Yes,RC,W1.1,F + V,"3 - 'Residual displacement', 'Yielding of tower', 'Collapse'",A,Wind turbines,Mexico,W,3-sec peak gust wind speed at 10 m height,,"Yes, datapoints were given for reconstruction of the curve",Energy,Jaimes et al. (2019),P,"Yes, bandwidth(s) for curve(s)",wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"2.5-MW capacity, 80-m hub height; fixed in the base; blades in feathered position minimizing the drag force",Yes,RC,W1.2,F + V,"3 - 'Residual displacement', 'Yielding of tower', 'Collapse'",A,Wind turbines,Mexico,W,3-sec peak gust wind speed at 10 m height,,"Yes, datapoints were given for reconstruction of the curve",Energy,Jaimes et al. (2019),P,"Yes, bandwidth(s) for curve(s)",wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"3.3-MW capacity, 100-m hub height; fixed in the base; blades in feathered position minimizing the drag force",Yes,RC,W1.3,F + V,"3 - 'Residual displacement', 'Yielding of tower', 'Collapse'",A,Wind turbines,Mexico,W,3-sec peak gust wind speed at 10 m height,,"Yes, datapoints were given for reconstruction of the curve",Energy,Jaimes et al. (2019),P,"Yes, bandwidth(s) for curve(s)",wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
,No,RC,W14.1,F + V,1 - 'Complete',O,Water treatment plant,Global,W,Wind speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Water,Miyamoto International (2019),M,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
,No,RC,W16.1,F + V,1 - 'Complete',O,Buried pipelines,Global,W,Wind speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Water,Miyamoto International (2019),M,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
,No,RC,W18.1,F + V,1 - 'Complete',O,Wastewater treatment plant,Global,W,Wind speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Miyamoto International (2019),M,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
,No,RC,W19.1,F + V,1 - 'Complete',O,Buried pipelines,Global,W,Wind speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Miyamoto International (2019),M,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
Building design: Marcos,Yes,RC,W21.1,V,,E,School,"Southern Luzon, Philippines",W,Wind speed,,"Yes, formula available",Education & Health,Acosta et al. (2018),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
Wooden roof structure,No,RC,W21.10,V,,H(A+E),School,Philippines,W,3s gust wind speed at 10 m height,,"Yes, formula available",Education & Health,Acosta (2022),P,"Yes, bandwidth(s) for curve(s)",wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
Building design: BLSB1,Yes,RC,W21.2,V,,E,School,"Southern Luzon, Philippines",W,Wind speed,,"Yes, formula available",Education & Health,Acosta et al. (2018),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
Building design: RPUS,Yes,RC,W21.3,V,,E,School,"Southern Luzon, Philippines",W,Wind speed,,"Yes, formula available",Education & Health,Acosta et al. (2018),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
Building design: DECS std.,Yes,RC,W21.4,V,,E,School,"Southern Luzon, Philippines",W,Wind speed,,"Yes, formula available",Education & Health,Acosta et al. (2018),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
Building design: DepEd STD,Yes,RC,W21.5,V,,E,School,"Southern Luzon, Philippines",W,Wind speed,,"Yes, formula available",Education & Health,Acosta et al. (2018),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 160 km/h, urban terrain",No,RC,W3.10,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 170 km/h, urban terrain",No,RC,W3.11,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 180 km/h, urban terrain",No,RC,W3.12,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 190 km/h, urban terrain",No,RC,W3.13,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 200 km/h, urban terrain",No,RC,W3.14,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 110 km/h, urban terrain",No,RC,W3.5,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 120 km/h, urban terrain",No,RC,W3.6,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 130 km/h, urban terrain",No,RC,W3.7,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 140 km/h, urban terrain",No,RC,W3.8,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
"Design speed 150 km/h, urban terrain",No,RC,W3.9,V,,H(A+E),Power tower,Mexico,W,3-sec gust speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Reinoso et al. (2020),P,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
On-grade,No,RC,W7.2,F + V,1 - 'Physical damage probability' ,O,Roads,Global,W,Wind speed,,"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,Miyamoto International (2019),M,No,wind,W_Vuln_V10m,Wind speed at 10 m height,m/s
