additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
"Ductile pipelines: steel, ductile iron, and PVC, and welded steel pipes with arc-welded joints",Yes,RC,E16.3,V (repair rate),,O,Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,FEMA (2020),M,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Ductile mains, None-to-low liquefaction susceptibility class",No,RC,E16.32,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Non-ductile mains, None-to-low liquefaction susceptibility class",No,RC,E16.33,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Non-ductile mains, moderate liquefaction susceptibility class",No,RC,E16.34,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Non-ductile mains, high liquefaction susceptibility class",No,RC,E16.35,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Ductile sub-mains, None-to-low liquefaction susceptibility class",No,RC,E16.36,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Ductile sub-mains, moderate liquefaction susceptibility class",No,RC,E16.37,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Non-ductile sub-mains, None-to-low liquefaction susceptibility class",No,RC,E16.38,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
"Galvanised iron sub-mains, None-to-low liquefaction susceptibility class",No,RC,E16.39,V (repair rate),,E,Buried pipelines,New Zealand,E,Modified Mercalli Intensity ,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,Sadashiva et al. (2021),C,No,earthquake,E_Vuln_MMI,Modified Mercalli Intensity,
,No,RC,E16.4,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron, cement joint type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.5,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron, cement joint type, corrosive soil, 4 to 12 inches in diameter, without seismic design",No,RC,E16.6,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
